what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340000016539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340000040133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340000041095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340000041391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340000041663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340000042002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340000067400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340000068195
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340000069725
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340000082524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340000091220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340000104625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340000109681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340000113496
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340000239517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340000265445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340000422488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340000427996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340001718349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340001904971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002100480
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340002239593
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340002241838
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340002242791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340002245501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340002249580
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340002252197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340002281708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340002283363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002287114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002287551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002287929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002291816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002292173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002292485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002292836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002293212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002293924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002294324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002294660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002295124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340002295664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340002296762
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340002300208
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1340002303299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002304186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002341776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002383350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002423153
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340002423183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002424670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002453979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002493447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002505830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002507766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002599330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002673771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002678243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002681410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002692164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002696427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340002786087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003193348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003200182
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340003201743
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1340003204745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003210873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003765072
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340003765099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003857872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003859095
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340003862505
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1340003887295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003896805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003944016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003944030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003947942
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1340003948215
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1340003948222
started,bundle,org.eclipse.mylyn.ide.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ui",1340003948332
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1340003948387
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1340003948587
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1340003948630
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1340003949300
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340003949483
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340003964677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340003972760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004077736
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340004081123
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340004086035
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340004089459
error,log,,,"Internal error logged from JDI Debug: ",1340004089625
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340004091539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004097480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004112961
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340004190388
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1340004201425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004280261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004669823
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1340004671685
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1340004672970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004677161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004678466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004678602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004680675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004681489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004681638
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1340004685271
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340004685296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004695414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004695698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004696016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004696418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004696847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004697164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340004700384
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1340004704854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004711064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004739034
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1340004757916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004772910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004773403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004773443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340004773456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340004776075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004776388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004777928
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1340004798064
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1340004807388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004811220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004812491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004813673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004949594
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340004949653
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1340004955593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004957343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004962674
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1340004962697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340004963742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005287837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005339222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005442038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005493593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005664876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005665841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005712897
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340005712929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005727716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005730543
